Agente,Nodos explorados
Agente BFS,3385
Agente BFS,3390
Agente BFS,3370
Agente BFS,3397
Agente BFS,3351
Agente BFS,3386
Agente BFS,3377
Agente BFS,3386
Agente BFS,3358
Agente BFS,3353
Agente BFS,3396
Agente BFS,3380
Agente BFS,3231
Agente BFS,3354
Agente BFS,3559
Agente BFS,3393
Agente BFS,3417
Agente BFS,3381
Agente BFS,3365
Agente BFS,3397
Agente BFS,3272
Agente BFS,3356
Agente BFS,3336
Agente BFS,3390
Agente BFS,3384
Agente BFS,3366
Agente BFS,3410
Agente BFS,3607
Agente BFS,3383
Agente BFS,3307
Agente DFS,215
Agente DFS,2925
Agente DFS,3776
Agente DFS,3901
Agente DFS,467
Agente DFS,3012
Agente DFS,3931
Agente DFS,53
Agente DFS,139
Agente DFS,73
Agente DFS,401
Agente DFS,3641
Agente DFS,73
Agente DFS,3500
Agente DFS,2128
Agente DFS,3338
Agente DFS,339
Agente DFS,3716
Agente DFS,3947
Agente DFS,8647
Agente DFS,366
Agente DFS,3680
Agente DFS,141
Agente DFS,3830
Agente DFS,73
Agente DFS,3771
Agente DFS,3363
Agente DFS,3971
Agente DFS,3627
Agente DFS,2410
Agente LDS,6084
Agente LDS,4257
Agente LDS,3866
Agente LDS,3654
Agente LDS,3699
Agente LDS,3908
Agente LDS,4045
Agente LDS,57
Agente LDS,3986
Agente LDS,73
Agente LDS,3574
Agente LDS,8096
Agente LDS,93
Agente LDS,187
Agente LDS,3036
Agente LDS,5168
Agente LDS,6804
Agente LDS,3648
Agente LDS,4583
Agente LDS,7934
Agente LDS,1900
Agente LDS,3769
Agente LDS,151
Agente LDS,5623
Agente LDS,73
Agente LDS,3732
Agente LDS,141
Agente LDS,4608
Agente LDS,63
Agente LDS,4119
Agente UCS,3489
Agente UCS,3490
Agente UCS,3470
Agente UCS,3514
Agente UCS,3469
Agente UCS,3495
Agente UCS,3481
Agente UCS,3484
Agente UCS,3462
Agente UCS,3459
Agente UCS,3509
Agente UCS,3494
Agente UCS,3392
Agente UCS,3459
Agente UCS,3702
Agente UCS,3507
Agente UCS,3518
Agente UCS,3496
Agente UCS,3467
Agente UCS,3506
Agente UCS,3447
Agente UCS,3477
Agente UCS,3440
Agente UCS,3496
Agente UCS,3484
Agente UCS,3472
Agente UCS,3517
Agente UCS,3703
Agente UCS,3488
Agente UCS,3474
