Algoritmo,Cantidad de reinas,Tiempo de ejecucion,Numero de soluciones exploradas,Solucion encontrada
Hill Climbing,4,0.0,3,True
Hill Climbing,4,0.0,1,False
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,3,True
Hill Climbing,4,0.0,4,True
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,2,True
Hill Climbing,4,0.0009996891021728516,2,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,2,True
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,1,False
Hill Climbing,4,0.0,4,True
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,3,True
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,2,False
Hill Climbing,4,0.0,1,True
Hill Climbing,4,0.0,2,True
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,4,True
Hill Climbing,4,0.0,3,False
Hill Climbing,4,0.0,2,False
Hill Climbing,8,0.0009996891021728516,5,True
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0010018348693847656,3,False
Hill Climbing,8,0.0010001659393310547,5,False
Hill Climbing,8,0.0009984970092773438,5,False
Hill Climbing,8,0.0,3,False
Hill Climbing,8,0.0,3,False
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0009987354278564453,4,False
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,5,True
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0,3,False
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,3,False
Hill Climbing,8,0.0009980201721191406,5,False
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0010004043579101562,5,True
Hill Climbing,8,0.0009987354278564453,5,False
Hill Climbing,8,0.00099945068359375,4,False
Hill Climbing,8,0.0009999275207519531,5,False
Hill Climbing,8,0.0009992122650146484,5,False
Hill Climbing,8,0.0010006427764892578,4,False
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,4,False
Hill Climbing,8,0.0,5,False
Hill Climbing,8,0.0,5,False
Hill Climbing,10,0.015642166137695312,4,False
Hill Climbing,10,0.008017301559448242,5,True
Hill Climbing,10,0.004016876220703125,4,False
Hill Climbing,10,0.002001047134399414,4,False
Hill Climbing,10,0.002000570297241211,4,False
Hill Climbing,10,0.0,6,False
Hill Climbing,10,0.015625476837158203,5,False
Hill Climbing,10,0.0,3,False
Hill Climbing,10,0.0,5,False
Hill Climbing,10,0.002000093460083008,5,False
Hill Climbing,10,0.0,4,False
Hill Climbing,10,0.0,5,False
Hill Climbing,10,0.0,4,False
Hill Climbing,10,0.0019998550415039062,5,False
Hill Climbing,10,0.0,2,False
Hill Climbing,10,0.0029985904693603516,7,False
Hill Climbing,10,0.0019996166229248047,6,False
Hill Climbing,10,0.0025103092193603516,7,True
Hill Climbing,10,0.0,7,False
Hill Climbing,10,0.0,4,False
Hill Climbing,10,0.0,5,False
Hill Climbing,10,0.0020003318786621094,4,False
Hill Climbing,10,0.0009992122650146484,3,False
Hill Climbing,10,0.0010006427764892578,4,False
Hill Climbing,10,0.003000020980834961,6,False
Hill Climbing,10,0.0,3,False
Hill Climbing,10,0.0029985904693603516,7,True
Hill Climbing,10,0.003000020980834961,6,False
Hill Climbing,10,0.0019986629486083984,5,False
Hill Climbing,10,0.0020003318786621094,6,False
Hill Climbing,12,0.0,4,False
Hill Climbing,12,0.0045087337493896484,5,False
Hill Climbing,12,0.0070002079010009766,8,False
Hill Climbing,12,0.004999637603759766,6,False
Hill Climbing,12,0.003999948501586914,5,False
Hill Climbing,12,0.0070002079010009766,8,False
Hill Climbing,12,0.015515804290771484,6,False
Hill Climbing,12,0.016142845153808594,8,False
Hill Climbing,12,0.005999326705932617,6,False
Hill Climbing,12,0.007000446319580078,7,False
Hill Climbing,12,0.007999658584594727,9,True
Hill Climbing,12,0.0060007572174072266,7,False
Hill Climbing,12,0.006000041961669922,7,False
Hill Climbing,12,0.0,5,False
Hill Climbing,12,0.0,6,False
Hill Climbing,12,0.004999399185180664,6,False
Hill Climbing,12,0.004000663757324219,5,False
Hill Climbing,12,0.007000446319580078,8,True
Hill Climbing,12,0.0156252384185791,8,True
Hill Climbing,12,0.004999876022338867,5,False
Hill Climbing,12,0.0,6,False
Hill Climbing,12,0.0,6,False
Hill Climbing,12,0.003999948501586914,5,False
Hill Climbing,12,0.005000114440917969,5,False
Hill Climbing,12,0.006000518798828125,7,False
Hill Climbing,12,0.0,4,False
Hill Climbing,12,0.0,5,False
Hill Climbing,12,0.006001949310302734,6,False
Hill Climbing,12,0.0,5,False
Hill Climbing,12,0.004998922348022461,6,False
Hill Climbing,15,0.011000394821166992,5,False
Hill Climbing,15,0.014999866485595703,7,False
Hill Climbing,15,0.018999338150024414,9,True
Hill Climbing,15,0.016033411026000977,7,False
Hill Climbing,15,0.016193628311157227,8,False
Hill Climbing,15,0.018999338150024414,9,False
Hill Climbing,15,0.015624761581420898,8,False
Hill Climbing,15,0.01563572883605957,8,False
Hill Climbing,15,0.015508413314819336,7,False
Hill Climbing,15,0.014999866485595703,7,False
Hill Climbing,15,0.01699995994567871,8,False
Hill Climbing,15,0.01700425148010254,8,False
Hill Climbing,15,0.0156252384185791,8,False
Hill Climbing,15,0.018713951110839844,8,True
Hill Climbing,15,0.013000726699829102,6,False
Hill Climbing,15,0.015642642974853516,5,False
Hill Climbing,15,0.015015125274658203,8,False
Hill Climbing,15,0.015005111694335938,7,False
Hill Climbing,15,0.03125,9,False
Hill Climbing,15,0.017000436782836914,8,False
Hill Climbing,15,0.015999555587768555,7,False
Hill Climbing,15,0.013000011444091797,6,False
Hill Climbing,15,0.017510414123535156,8,False
Hill Climbing,15,0.015702009201049805,5,False
Hill Climbing,15,0.015798568725585938,7,False
Hill Climbing,15,0.015000104904174805,7,False
Hill Climbing,15,0.013799667358398438,7,False
Hill Climbing,15,0.010999441146850586,5,False
Hill Climbing,15,0.01565408706665039,9,False
Hill Climbing,15,0.013008356094360352,6,False
