Algoritmo,Numero de estado,Valores de h
Hill Climbing,0,15
Hill Climbing,1,10
Hill Climbing,2,7
Hill Climbing,3,5
Hill Climbing,4,3
Hill Climbing,5,3
Simulated Annealing,0,15
Simulated Annealing,1,16
Simulated Annealing,2,13
Simulated Annealing,3,16
Simulated Annealing,4,12
Simulated Annealing,5,10
Simulated Annealing,6,11
Simulated Annealing,7,11
Simulated Annealing,8,14
Simulated Annealing,9,10
Simulated Annealing,10,8
Simulated Annealing,11,9
Simulated Annealing,12,11
Simulated Annealing,13,10
Simulated Annealing,14,11
Simulated Annealing,15,8
Simulated Annealing,16,10
Simulated Annealing,17,8
Simulated Annealing,18,7
Simulated Annealing,19,10
Simulated Annealing,20,8
Simulated Annealing,21,8
Simulated Annealing,22,6
Simulated Annealing,23,5
Simulated Annealing,24,5
Simulated Annealing,25,7
Simulated Annealing,26,7
Simulated Annealing,27,6
Simulated Annealing,28,8
Simulated Annealing,29,8
Simulated Annealing,30,6
Simulated Annealing,31,6
Simulated Annealing,32,7
Simulated Annealing,33,9
Simulated Annealing,34,6
Simulated Annealing,35,4
Simulated Annealing,36,4
Simulated Annealing,37,7
Simulated Annealing,38,7
Simulated Annealing,39,7
Simulated Annealing,40,5
Simulated Annealing,41,6
Simulated Annealing,42,5
Simulated Annealing,43,8
Simulated Annealing,44,3
Simulated Annealing,45,5
Simulated Annealing,46,6
Simulated Annealing,47,5
Simulated Annealing,48,6
Simulated Annealing,49,5
Simulated Annealing,50,4
Simulated Annealing,51,6
Simulated Annealing,52,5
Simulated Annealing,53,5
Simulated Annealing,54,5
Simulated Annealing,55,5
Simulated Annealing,56,5
Simulated Annealing,57,6
Simulated Annealing,58,3
Simulated Annealing,59,5
Simulated Annealing,60,5
Simulated Annealing,61,5
Simulated Annealing,62,5
Simulated Annealing,63,2
Simulated Annealing,64,3
Simulated Annealing,65,4
Simulated Annealing,66,5
Simulated Annealing,67,3
Simulated Annealing,68,4
Simulated Annealing,69,5
Simulated Annealing,70,4
Simulated Annealing,71,4
Simulated Annealing,72,5
Simulated Annealing,73,3
Simulated Annealing,74,6
Simulated Annealing,75,3
Simulated Annealing,76,3
Simulated Annealing,77,4
Simulated Annealing,78,4
Simulated Annealing,79,5
Simulated Annealing,80,6
Simulated Annealing,81,4
Simulated Annealing,82,5
Simulated Annealing,83,4
Simulated Annealing,84,4
Simulated Annealing,85,3
Simulated Annealing,86,4
Simulated Annealing,87,4
Simulated Annealing,88,5
Simulated Annealing,89,6
Simulated Annealing,90,4
Simulated Annealing,91,3
Simulated Annealing,92,5
Simulated Annealing,93,2
Simulated Annealing,94,4
Simulated Annealing,95,5
Simulated Annealing,96,7
Simulated Annealing,97,5
Simulated Annealing,98,4
Simulated Annealing,99,5
Simulated Annealing,100,2
Simulated Annealing,101,4
Simulated Annealing,102,5
Simulated Annealing,103,4
Simulated Annealing,104,4
Simulated Annealing,105,5
Simulated Annealing,106,4
Simulated Annealing,107,5
Simulated Annealing,108,4
Simulated Annealing,109,3
Simulated Annealing,110,4
Simulated Annealing,111,2
Simulated Annealing,112,3
Simulated Annealing,113,3
Simulated Annealing,114,3
Simulated Annealing,115,3
Simulated Annealing,116,4
Simulated Annealing,117,5
Simulated Annealing,118,5
Simulated Annealing,119,5
Simulated Annealing,120,3
Simulated Annealing,121,5
Simulated Annealing,122,4
Simulated Annealing,123,4
Simulated Annealing,124,5
Simulated Annealing,125,3
Simulated Annealing,126,3
Simulated Annealing,127,4
Simulated Annealing,128,3
Simulated Annealing,129,4
Simulated Annealing,130,4
Simulated Annealing,131,4
Simulated Annealing,132,5
Simulated Annealing,133,4
Simulated Annealing,134,5
Simulated Annealing,135,5
Simulated Annealing,136,4
Simulated Annealing,137,4
Simulated Annealing,138,4
Simulated Annealing,139,5
Simulated Annealing,140,3
Simulated Annealing,141,4
Simulated Annealing,142,4
Genetic Algorithm,0,13
Genetic Algorithm,1,16
Genetic Algorithm,2,21
Genetic Algorithm,3,11
Genetic Algorithm,4,15
Genetic Algorithm,5,13
Genetic Algorithm,6,15
Genetic Algorithm,7,12
Genetic Algorithm,8,18
Genetic Algorithm,9,19
Genetic Algorithm,10,19
Genetic Algorithm,11,11
Genetic Algorithm,12,20
Genetic Algorithm,13,21
Genetic Algorithm,14,16
Genetic Algorithm,15,18
Genetic Algorithm,16,13
Genetic Algorithm,17,13
Genetic Algorithm,18,16
Genetic Algorithm,19,15
Genetic Algorithm,20,26
Genetic Algorithm,21,17
Genetic Algorithm,22,15
Genetic Algorithm,23,18
